escuela,senal,tramo,n_trades,retorno_total,cagr,max_dd,sharpe,trades_anio,profit_factor,pf_sin_mejor,win_rate,expectancia_R,payoff,t_stat,media_barras,pct_stop,mar
Kaufman,breakout_er,IS,93,0.6245452564865002,0.015810331719402493,-0.07319157773460905,0.5312334677417073,3.0065426555484285,2.2179018192713618,1.995272483138109,0.43010752688172044,0.5462826241328336,2.9387199105345543,2.411361767225283,41.72043010752688,0.26881720430107525,0.21601299232447738
Kaufman,breakout_er,OOS,24,0.28451814914202567,0.0241974350145584,-0.0484849931049145,0.8557752992275031,2.2917771883289126,5.701170099141174,4.889098148212434,0.7083333333333334,1.062834342120392,2.34754062905813,3.0311190860930775,63.375,0.08333333333333333,0.49907060855301466
Kaufman,mr_2dias,IS,948,0.12519142242836812,0.0038205188978972515,-0.1787510832039516,0.1299622249644125,30.647338037203333,1.0548213484687066,1.0434713371233355,0.5464135021097046,0.014247936422082256,0.8756238993079996,0.6718730070949362,2.3850210970464136,0.1350210970464135,0.021373402775624648
Kaufman,mr_2dias,OOS,282,0.22756786854518163,0.019771850710818217,-0.08908691310814609,0.5912024627946759,26.928381962864723,1.3543648543241236,1.3113840684079399,0.5886524822695035,0.07465515989284535,0.9464236331421586,2.0194592019540933,2.3191489361702127,0.09929078014184398,0.2219388911457331
Kaufman,kama_tendencia,IS,991,-0.17524481401484537,-0.006209315227964862,-0.45075686102536305,-0.11726947108811359,32.03745991019884,0.9393126998637531,0.9107668302603791,0.3753784056508577,-0.016389968706837718,1.5629961323001698,-0.6162023318374789,3.7628657921291624,0.04036326942482341,-0.01377530940702748
Kaufman,kama_tendencia,OOS,325,-0.08629833591662728,-0.008581118851247349,-0.1324882581834349,-0.16700564682902733,31.03448275862069,0.887221475683566,0.8384658502743108,0.41846153846153844,-0.025493909326691554,1.2329769037073086,-0.7556684696121969,3.9876923076923076,0.06153846153846154,-0.0647689007984879
Raschke,holy_grail,IS,64,0.06622237824032884,0.0020751099538940387,-0.042276364364227104,0.1900612741962934,2.0690186016677354,1.399203385040979,1.2867458277376589,0.5625,0.10304391643230429,1.088269299476317,1.0863791812089045,3.65625,0.15625,0.0490843994061592
Raschke,holy_grail,OOS,13,0.0025120618611880197,0.0002396064959744315,-0.044865359246406,0.030912293671582117,1.2413793103448276,1.0489786630883648,0.7484205729827894,0.38461538461538464,0.02345757473432895,1.6783658609413836,0.07357228878344428,2.8461538461538463,0.3076923076923077,0.005340567867928652
Raschke,ochenta_veinte,IS,1153,-0.4068057460846658,-0.0167412581887475,-0.4665381716310071,-0.5459826941035928,37.2746632456703,0.7434712577565495,0.7345557453718277,0.4527320034692108,-0.044124028603515573,0.898717171732534,-3.7732915481516596,0.9479618386816999,0.07545533391153512,-0.035884005225596934
Raschke,ochenta_veinte,OOS,276,0.07884873243848745,0.007273543283327966,-0.05249056173150579,0.27388259754268907,26.355437665782496,1.152511805528821,1.1203284218366734,0.5217391304347826,0.028817289339777695,1.0564691550680858,0.8990010276002616,0.9782608695652174,0.03985507246376811,0.13856859296977675
