ventana,params,cagr_is,cagr_oos,pf_oos,n_oos
0,"{'n': 10, 'er_min': 0.2}",0.03559895407924851,0.0367003972648372,1.5099838696966668,71
1,"{'n': 20, 'er_min': 0.2}",0.033464333395704315,0.00747914713645792,1.1253371923486837,52
2,"{'n': 8, 'er_min': 0.4}",0.040951721967036114,0.05930110094542651,2.598704630402189,66
3,"{'n': 8, 'er_min': 0.4}",0.0467362354196601,0.035955398314435616,1.6309362449426628,62
4,"{'n': 8, 'er_min': 0.4}",0.0494346555045484,0.007351563454052634,1.132132375291694,66
