ventana,params,cagr_is,cagr_oos,pf_oos,n_oos
0,"{'adx_min': 35, 'ema_n': 25, 'hold': 5}",0.0013444038929686375,0.003375731680386851,1.920791974689262,9
1,"{'adx_min': 35, 'ema_n': 15, 'hold': 5}",0.004115380276231262,-0.008802528068822424,0.13581862180899176,11
2,"{'adx_min': 30, 'ema_n': 20, 'hold': 5}",0.0048238849659767435,0.011000231969003904,3.908748233887079,10
3,"{'adx_min': 30, 'ema_n': 20, 'hold': 5}",0.00527262823674679,-0.0020596141401876267,0.7371907948585879,9
4,"{'adx_min': 35, 'ema_n': 15, 'hold': 5}",0.0028278581521823387,0.0032657162282565544,inf,3
